datetime,avg_price,price_volatility
2023-01-31,24.187519723001405,31.10926161500461
2023-02-28,20.05035002587992,42.30478696635786
2023-03-31,27.718154807185908,54.94018551861582
2023-04-30,21.799350090579708,39.39030460171153
2023-05-31,29.98082369097709,55.687563247112784
2023-06-30,64.40779196859903,367.08621703911166
2023-07-31,43.46182839527817,156.59594100137164
2023-08-31,193.44336868863954,616.7711299303438
2023-09-30,90.6457480374396,421.1096166261431
2023-10-31,29.20679508532024,61.62115315867275
2023-11-30,30.27167897847193,42.386789732270884
2023-12-31,22.33902232351566,33.975577761852264
2024-01-31,34.87736515310893,56.81922081262698
2024-02-29,14.678826211894053,20.4014835737676
2024-03-31,21.832940488033238,42.72894628472483
2024-04-30,25.279939462560385,98.02789732222408
2024-05-31,40.322916374474055,182.04463744392567
2024-06-30,30.30169927536232,33.891807521664624
2024-07-31,23.45383546633941,24.04803966552602
2024-08-31,38.433242899719495,166.24753003848693
2024-09-30,25.454391153381643,29.687476956953496
2024-10-31,25.693551455119213,32.09393254752633
2024-11-30,30.974983115238498,113.34109309476094
2024-12-31,25.97963315217391,32.58298358124163
2025-01-31,33.03091733870968,60.6720101696819
2025-02-28,35.827954192546585,69.78454296744026
2025-03-31,27.836582596992216,27.658387944677145
2025-04-30,32.82952219202898,80.38830510766101
2025-05-31,36.98196660238429,77.34721193263837
2025-06-30,29.741279740338165,22.397218838244807
2025-07-31,34.67460831580178,41.73529463751241
2025-08-31,38.31010036816269,25.29677536679836
2025-09-30,33.51564387077295,34.586996536448
2025-10-31,34.57412546750818,28.68930075195264
2025-11-30,35.31672450702527,31.582358743353982
2025-12-31,36.87040454067321,45.18052705722161
